
==================== Edge Cut ====================
ParHIP FASTMESH                                   : 57810
ParHIP ULTRAFASTMESH                              : 67400

dKaMinPar create_default_context                  : 55130
dKaMinPar create_strong_context                   : 51129

ParMETIS                                          : 56696

PT-SCOTCH SCOTCH_STRATBALANCE                     : 53672
PT-SCOTCH SCOTCH_STRATQUALITY                     : 54222
PT-SCOTCH SCOTCH_STRATSPEED                       : 52448

Zoltan                                            : 61187
Zoltan2 combinatorial jacobi 4                    : 100490
Zoltan2 combinatorial jacobi 6                    : 100598
Zoltan2 combinatorial jacobi 8                    : 93739
Zoltan2 combinatorial muelu 4                     : 97976
Zoltan2 combinatorial muelu 6                     : 93739
Zoltan2 combinatorial muelu 8                     : 98003
Zoltan2 combinatorial polynomial 4                : 98212
Zoltan2 combinatorial polynomial 6                : 100625
Zoltan2 combinatorial polynomial 8                : 90745
Zoltan2 generalized jacobi 4                      : 92024
Zoltan2 generalized jacobi 6                      : 98350
Zoltan2 generalized jacobi 8                      : 99532
Zoltan2 generalized muelu 4                       : 92350
Zoltan2 generalized muelu 6                       : 92387
Zoltan2 generalized muelu 8                       : 98350
Zoltan2 generalized polynomial 4                  : 92381
Zoltan2 generalized polynomial 6                  : 92350
Zoltan2 generalized polynomial 8                  : 93777


==================== Boundary ====================
PT-SCOTCH SCOTCH_STRATQUALITY                     : avg: 1.20  diff: 1.00  avg_dev: 0.32  std_dev: 0.40
PT-SCOTCH SCOTCH_STRATSPEED                       : avg: 1.00  diff: 0.00  avg_dev: 0.00  std_dev: 0.00

Zoltan                                            : avg: 1.10  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial jacobi 4                    : avg: 2.20  diff: 5.00  avg_dev: 1.08  std_dev: 1.47
Zoltan2 combinatorial jacobi 6                    : avg: 2.10  diff: 3.00  avg_dev: 0.94  std_dev: 1.14
Zoltan2 combinatorial jacobi 8                    : avg: 2.10  diff: 2.00  avg_dev: 0.72  std_dev: 0.83
Zoltan2 combinatorial muelu 4                     : avg: 2.60  diff: 5.00  avg_dev: 1.32  std_dev: 1.62
Zoltan2 combinatorial muelu 6                     : avg: 2.10  diff: 2.00  avg_dev: 0.72  std_dev: 0.83
Zoltan2 combinatorial muelu 8                     : avg: 2.50  diff: 5.00  avg_dev: 1.20  std_dev: 1.50
Zoltan2 combinatorial polynomial 4                : avg: 2.50  diff: 5.00  avg_dev: 1.20  std_dev: 1.50
Zoltan2 combinatorial polynomial 6                : avg: 2.10  diff: 3.00  avg_dev: 0.94  std_dev: 1.14
Zoltan2 combinatorial polynomial 8                : avg: 2.10  diff: 2.00  avg_dev: 0.72  std_dev: 0.83
Zoltan2 generalized jacobi 4                      : avg: 1.80  diff: 2.00  avg_dev: 0.64  std_dev: 0.75
Zoltan2 generalized jacobi 6                      : avg: 2.20  diff: 6.00  avg_dev: 0.96  std_dev: 1.66
Zoltan2 generalized jacobi 8                      : avg: 1.70  diff: 2.00  avg_dev: 0.56  std_dev: 0.64
Zoltan2 generalized muelu 4                       : avg: 1.90  diff: 2.00  avg_dev: 0.72  std_dev: 0.83
Zoltan2 generalized muelu 6                       : avg: 1.80  diff: 2.00  avg_dev: 0.64  std_dev: 0.75
Zoltan2 generalized muelu 8                       : avg: 2.20  diff: 6.00  avg_dev: 0.96  std_dev: 1.66
Zoltan2 generalized polynomial 4                  : avg: 1.80  diff: 2.00  avg_dev: 0.64  std_dev: 0.75
Zoltan2 generalized polynomial 6                  : avg: 1.90  diff: 2.00  avg_dev: 0.72  std_dev: 0.83
Zoltan2 generalized polynomial 8                  : avg: 2.00  diff: 2.00  avg_dev: 0.80  std_dev: 0.89


==================== Vertices ====================
ParHIP FASTMESH                                   : avg: 5232.90  diff: 946.00  avg_dev: 258.72  std_dev: 300.05
ParHIP ULTRAFASTMESH                              : avg: 5232.90  diff: 611.00  avg_dev: 180.10  std_dev: 201.92

dKaMinPar create_default_context                  : avg: 5232.90  diff: 2203.00  avg_dev: 388.38  std_dev: 649.12
dKaMinPar create_strong_context                   : avg: 5232.90  diff: 2209.00  avg_dev: 389.58  std_dev: 650.63

ParMETIS                                          : avg: 5232.90  diff: 768.00  avg_dev: 166.14  std_dev: 219.01

PT-SCOTCH SCOTCH_STRATBALANCE                     : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
PT-SCOTCH SCOTCH_STRATQUALITY                     : avg: 5232.90  diff: 619.00  avg_dev: 173.50  std_dev: 195.50
PT-SCOTCH SCOTCH_STRATSPEED                       : avg: 5232.90  diff: 522.00  avg_dev: 139.90  std_dev: 168.38

Zoltan                                            : avg: 5232.90  diff: 702.00  avg_dev: 145.90  std_dev: 192.26
Zoltan2 combinatorial jacobi 4                    : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial jacobi 6                    : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial jacobi 8                    : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial muelu 4                     : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial muelu 6                     : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial muelu 8                     : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial polynomial 4                : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial polynomial 6                : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 combinatorial polynomial 8                : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized jacobi 4                      : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized jacobi 6                      : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized jacobi 8                      : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized muelu 4                       : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized muelu 6                       : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized muelu 8                       : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized polynomial 4                  : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized polynomial 6                  : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
Zoltan2 generalized polynomial 8                  : avg: 5232.90  diff: 1.00  avg_dev: 0.18  std_dev: 0.30


==================== Edges ====================
ParHIP FASTMESH                                   : avg: 264613.40  diff: 88731.00  avg_dev: 26417.20  std_dev: 30566.97
ParHIP ULTRAFASTMESH                              : avg: 264613.40  diff: 94334.00  avg_dev: 24304.40  std_dev: 28517.86

dKaMinPar create_default_context                  : avg: 264613.40  diff: 174365.00  avg_dev: 34654.52  std_dev: 46932.05
dKaMinPar create_strong_context                   : avg: 264613.40  diff: 173232.00  avg_dev: 33783.92  std_dev: 46475.82

ParMETIS                                          : avg: 264613.40  diff: 66085.00  avg_dev: 18220.40  std_dev: 21394.45

PT-SCOTCH SCOTCH_STRATBALANCE                     : avg: 264613.40  diff: 61932.00  avg_dev: 19505.60  std_dev: 21903.07
PT-SCOTCH SCOTCH_STRATQUALITY                     : avg: 264613.40  diff: 77190.00  avg_dev: 21723.08  std_dev: 24820.94
PT-SCOTCH SCOTCH_STRATSPEED                       : avg: 264613.40  diff: 82095.00  avg_dev: 25606.20  std_dev: 28905.15

Zoltan                                            : avg: 264613.40  diff: 84999.00  avg_dev: 18839.20  std_dev: 24085.06
Zoltan2 combinatorial jacobi 4                    : avg: 264613.40  diff: 63697.00  avg_dev: 13675.52  std_dev: 17434.18
Zoltan2 combinatorial jacobi 6                    : avg: 264613.40  diff: 63707.00  avg_dev: 13693.72  std_dev: 17446.17
Zoltan2 combinatorial jacobi 8                    : avg: 264613.40  diff: 56162.00  avg_dev: 15888.72  std_dev: 18396.12
Zoltan2 combinatorial muelu 4                     : avg: 264613.40  diff: 59282.00  avg_dev: 13314.12  std_dev: 16928.38
Zoltan2 combinatorial muelu 6                     : avg: 264613.40  diff: 56162.00  avg_dev: 15888.72  std_dev: 18396.12
Zoltan2 combinatorial muelu 8                     : avg: 264613.40  diff: 59261.00  avg_dev: 13309.92  std_dev: 16923.76
Zoltan2 combinatorial polynomial 4                : avg: 264613.40  diff: 59346.00  avg_dev: 13326.92  std_dev: 16938.68
Zoltan2 combinatorial polynomial 6                : avg: 264613.40  diff: 63700.00  avg_dev: 13682.92  std_dev: 17438.86
